0.001047041034373,2.48e-12
0.001147865775035,2.44e-12
0.001301180565634,2.36e-12
0.001487352107294,2.36e-12
0.001644261779716,2.25e-12
0.001832980710832,2.18e-12
0.002043359717857,2.15e-12
0.002297002799521,2.05e-12
0.002603802175259,1.98e-12
0.002902651646441,1.92e-12
0.003317959979651,1.86e-12
0.003698776385269,1.83e-12
0.004123300712525,1.75e-12
0.0046740297255,1.66e-12
0.005167121085324,1.61e-12
0.005808517949497,1.54e-12
0.006529531670055,1.47e-12
0.007340045120104,1.4e-12
0.008320418875507,1.27e-12
0.009275388805475,1.23e-12
0.01042674663038,1.1e-12
0.011918594530621,1.03e-12
0.013175958374978,9.53e-13
0.014688219264109,8.8e-13
0.016374048779652,8e-13
0.018406566184927,7.16e-13
0.020519166221485,6.4e-13
0.023259810416054,5.64e-13
0.026147060243523,4.96e-13
0.029392705578828,4.51e-13
0.033041234203669,3.85e-13
0.037142656186372,3.44e-13
0.041753189365604,3.03e-13
0.04693602992345,2.71e-13
0.051887592531924,2.58e-13
0.058817963274467,2.28e-13
0.066119061231787,2.1e-13
0.073707827641128,2e-13
0.083552619955711,1.82e-13
0.093924041013608,1.68e-13
0.104704103437286,1.55e-13
0.117701066833685,1.41e-13
0.131210119831276,1.3e-13
0.14749728593748,1.17e-13
0.165806184666993,1.06e-13
0.184836467027642,9.48e-14
0.209524165584003,8.62e-14
0.235532486379066,7.71e-14
0.262565553510437,7.01e-14
0.295157923590512,6.27e-14
0.334580716945648,5.52e-14
0.372981971571293,4.86e-14
0.419280377009936,4.21e-14
0.4713258225458,3.71e-14
0.525421895650226,3.37e-14
0.590642731522462,2.92e-14
0.658433314712782,2.61e-14
0.740164912705193,2.3e-14
0.832041887550698,1.96e-14
0.92753888054754,1.7e-14
1.05142569060454,1.43e-14
1.19185945306213,1.14e-14
1.32865424133576,8.99e-15
1.49358063843208,6.65e-15
1.67897941698998,4.83e-15
1.88739182213509,3.35e-15
2.10401582426473,2.18e-15
2.3850388781164,1.15e-15
2.70359680023537,4.66e-16
2.86648895182104,2.1e-16
3.01390012577874,9.95e-17
